src,name,city,state,zip,clia,domain,exa_top_url
RU,"CENTURY MEDICAL AND DENTAL CENTER, INC",BROOKLYN,NY,11223,33D2319880,centurymedicaldental.com,https://centurymedicaldental.com/
RU,BUFFALO MEDICAL GROUP,ORCHARD PARK,NY,14127,33D2307570,buffalomedicalgroup.com,https://www.buffalomedicalgroup.com/
RU,NORTH SHORE HEMATOLOGY AND ONCOLOGY ASSOCIATES PC,STATEN ISLAND,NY,10314,33D2321381,nshoa.com,http://www.nshoa.com/about
RU,NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,STATEN ISLAND,NY,10301,33D2238572,nshoa.com,http://www.nshoa.com/about
RU,WETCHLER MEDICAL PC,WOODBURY,NY,11797,33D2313732,lakesideconciergemed.com,https://www.lakesideconciergemed.com/
RU,OPTUM MEDICAL CARE PC,PORT JEFFERSON STATION,NY,11776,33D2323914,east.optum.com,https://east.optum.com/locations/internal-medicine-port-jefferson/
RU,COMMUNITY MEDICAL & DENTAL CARE INC,SUFFERN,NY,10901,33D2325614,cmadc.com,https://cmadc.com/
RU,GENEVA MEDICAL CAMPUS,GENEVA,NY,14456,33D2321484,rochesterregional.org,https://www.rochesterregional.org/locations/medical-campuses/geneva
RU,WASHINGTON HEIGHTS FAMILY HEALTH NP PLLC,BRONX,NY,10453,33D2326196,nyp.org,https://npidb.org/organizations/physician_assistants/family_363lf0000x/1386463586.aspx
RU,OPEN DOOR FAMILY MEDICAL CENTER - CHURCH ST,OSSINING,NY,10562,33D2318259,opendoormedical.org,https://opendoormedical.org/for-patients/locations-hours-services-by-center/ossining/
RU,EAST LIBERTY FAMILY HEALTH CARE CENTER,PITTSBURGH,PA,15206,39D0177137,elfhcc.com,https://elfhcc.com/
RU,SOUTHWEST MEDICAL CENTER,BENTLEYVILLE,PA,15314,39D0179861,patientportal.swmedcenter.com,https://www.patientportal.swmedcenter.com/
RU,FULTON COUNTY MEDICAL CENTER,MCCONNELLSBURG,PA,17233,39D0187054,fcmcpa.org,https://fcmcpa.org/
RU,LUZATO MEDICAL GROUP PC,NEW YORK,NY,10017,33D2324334,luzatomedicalgroup.com,https://luzatomedicalgroup.com/
RU,EAST SIDE ONCOLOGY ASSOCIATES PLLC,NEW YORK,NY,10004,33D2332274,oncologynewyork.com,https://www.oncologynewyork.com/
RU,METABOLIC DISEASE ASSOCIATES INC,ERIE,PA,16501,39D0184183,metabolicdiseaseassociates.com,https://www.metabolicdiseaseassociates.com/contact
RU,UR MEDICINE GENDER WELLNESS - OBSTETRICS AND,ROCHESTER,NY,14620,33D2328246,urmc.rochester.edu,https://urmc.rochester.edu/ob-gyn/gynecology/practices/gender-wellness
RU,CANCER CARE ASSOCIATES OF YORK,YORK,PA,17403,39D0187805,cancercareyork.com,https://cancercareyork.com/
RU,FULTON COUNTY MEDICAL CENTER,MCCONNELLSBURG,PA,17233,39D0690451,fcmcpa.org,https://fcmcpa.org/
RU,ADVANCED DERMATOLOGY ASSOCIATES LTD,ALLENTOWN,PA,18103,39D0191111,adaltd.com,https://adaltd.com/
RU,AHAVA MEDICAL AND REHABILITATION CENTER LLC,BROOKLYN,NY,11210,33D2328066,ahavamedical.com,https://ahavamedical.com/
RU,DERMATOLOGY ASSOCIATES,GETTYSBURG,PA,17325,39D0187270,dermyork.com,https://dermyork.com/contact-us/
RU,DERMATOLOGY ASSOCIATES OF YORK INC,YORK,PA,17402,39D0678072,dermyork.com,https://dermyork.com/
RU,MULTIVIZ MEDICAL SERVICES PC DBA OCEAN HILL,BROOKLYN,NY,11233,33D2327405,multivizhealth.com,https://multivizhealth.com/
RU,"YARDLEY DERMATOLOGY ASSOCIATES, PC",YARDLEY,PA,19067,39D0887030,yardleyderm.com,https://yardleyderm.com/
RU,GEISINGER MEDICAL CENTER CANCER CENTER HAZLETON,HAZLETON,PA,18201,39D0191388,locations.geisinger.org,https://locations.geisinger.org/gmc-hazleton-cancer-center
RU,JEFFERSON DERMATOLOGY ASSOCIATES,PHILADELPHIA,PA,19107,39D0696343,,https://www.practo.com/philadelphia/clinic/jefferson-dermatology-associates-philadelphia
