src,name,city,state,zip,clia,domain,exa_top_url,error
REF,BIOLIFE PLASMA SERVICES LP,JANESVILLE,WI,53546,52D0930815,biolifeplasma.com,https://www.biolifeplasma.com/locations/wisconsin/janesville,
REF,A2CL-AURORA HEALTH CENTER MANITOWOC COUNTY,TWO RIVERS,WI,54241,52D1021288,aurorahealthcare.org,https://www.aurorahealthcare.org/locations/aurora-health-center-two-rivers,
REF,BIOLIFE PLASMA SERVICES LP,FOND DU LAC,WI,54935,52D1005039,biolifeplasma.com,https://www.biolifeplasma.com/locations/wisconsin/fond-du-lac,
REF,BIOLIFE PLASMA SERVICES LP,APPLETON,WI,54913,52D1090494,biolifeplasma.com,https://www.biolifeplasma.com/locations/Wisconsin/Appleton,
REF,"CSL PLASMA, INC",SOUTH MILWAUKEE,WI,53172,52D2094125,cslplasma.com,https://www.cslplasma.com/center/140,
REF,FMCCP TOSA HEALTH CENTER,WAUWATOSA,WI,53226,52D2133898,froedtert.com,https://www.froedtert.com/locations/health-center/tosa-health-center,
REF,"CSL PLASMA, INC",MILWAUKEE,WI,53216,52D2235837,cslplasma.com,https://www.cslplasma.com/,
REF,BIOLIFE PLASMA SERVICES LP,WAUSAU,WI,54401,52D2098027,biolifeplasma.com,https://www.biolifeplasma.com/locations/wisconsin/wausau,
REF,SUMMIT PATHOLOGY,CASPER,WY,82601,53D2288216,summitpathology.com,https://summitpathology.com/,
REF,FROEDTERT & THE MEDICAL COLLEGE CP MEQUON,MEQUON,WI,53092,52D2135321,froedtert.com,https://www.froedtert.com/locations/health-center/mequon-health-center,
REF,FMCCP NORTH HILLS HEALTH CENTER,MENOMONEE FALLS,WI,53051,52D2126465,froedtert.com,https://www.froedtert.com/locations/health-center/north-hills-health-center,
REF,WYOMING PUBLIC HEALTH LABORATORY,CHEYENNE,WY,82007,53D0662169,health.wyo.gov,https://health.wyo.gov/publichealth/lab/,
REF,DIGESTIVE HEALTH ASSOCIATES PATHOLOGY LABORATORY,CHEYENNE,WY,82009,53D2112143,dhawy.com,https://dhawy.com/,
REF,QUEST DIAGNOSTICS - MILWAUKEE RRL,MILWAUKEE,WI,53221,52D2188290,locations.questdiagnostics.com,https://locations.questdiagnostics.com/wi/milwaukee,
REF,FROEDTERT & MCW MOORLAND RESERVE LABORATORY,NEW BERLIN,WI,53151,52D2066480,froedtert.com,https://www.froedtert.com/locations/lab/moorland-reserve-health-center-lab,
REF,BIOLIFE PLASMA SERVICES LP,PEWAUKEE,WI,53072,52D2282345,,,unknown
REF,"UNILABS, COPENHAGEN AS",nan,FN,nan,99D2280741,,,all keys exhausted
REF,"DIAGNOSTIC LABORATORY SERVICES, INC - AMC-2",MANGILAO,GU,96913,65D2137459,,,all keys exhausted
REF,GENETICA,nan,FN,nan,99D2278470,,,all keys exhausted
REF,PACIFIC EDGE DIAGNOSTICS NEW ZEALAND LIMITED,nan,FN,nan,99D2064747,,,all keys exhausted
REF,AMERICAN SAMOA DEPT OF HEALTH CLINICAL LAB,PAGO PAGO,AS,96799,64D1048456,doh.as,https://doh.as/,
REF,DIAGNOSTIC LABORATORY SERVICES - AMC-1,TAMUNING,GU,96913,65D2137458,,,all keys exhausted
REF,GUAM DEPT PUBLIC HLTH & SOC SVCS CENTRAL LAB,TAMUNING,GU,96913,65D0662216,dphss.guam.gov,https://dphss.guam.gov/,
REF,NUTRIPATH PATHOLOGY,nan,FN,nan,99D2282774,nutripath.com.au,https://nutripath.com.au/,
REF,DIAGNOSTIC LABORATORY SERVICES INC - FHP,TAMUNING,GU,96913,65D0970478,dlslab.com,https://dlslab.com/,
REF,DIAGNOSTIC LABORATORY SERVICES - SAIPAN,GARAPAN,MP,96950,66D0940277,dlslab.com,https://dlslab.com/locations/saipan-locations/,
REF,"DIAGNOSTIC LAB SERVICES, INC - ITC",TAMUNING,GU,96913,65D0662219,dlslab.com,https://dlslab.com/,
REF,SPOTITEARLY,nan,FN,nan,99D2307137,spotitearly.com,https://spotitearly.com/,
REF,JILAB INC,nan,FN,nan,99D2280565,jilab.fi,https://jilab.fi/,
REF,EVE TECHNOLOGIES CORPORATION,nan,FN,nan,99D2283230,evetechnologies.com,https://evetechnologies.com/,
