name,domain,city,state,clia_number
LABORATORY CORPORATION OF AMERICA,locations.labcorp.com,TUSTIN,CA,05D0578685
"ADVANCED BIOMEDICAL, INC",dayofdifference.org.au,SANTA ANA,CA,05D0580198
NAPA-SOLANO-YOLO-MARIN,solanocounty.gov,FAIRFIELD,CA,05D0601176
"EQUALTOX, LLC",equaltox.com,SANTA ANA,CA,05D0602385
"REPRODUCTIVE TECHNOLOGIES, INC/ THE SPERM",thespermbankofca.org,BERKELEY,CA,05D0602416
PLANNED PARENTHOOD MAR MONTE,plannedparenthood.org,SAN JOSE,CA,05D0608282
YOSEMITE PATHOLOGY MEDICAL GROUP INC,yosemitepathology.com,SACRAMENTO,CA,05D0615570
BUTTE COUNTY HEALTH DEPT LABORATORY,buttecounty.ca.gov,CHICO,CA,05D0617090
MODOC MEDICAL CENTER,modocmedicalcenter.org,ALTURAS,CA,05D0618592
PSYCHEMEDICS CORPORATION,psychemedics.com,CULVER CITY,CA,05D0642561
FOUNDATION LABORATORY,foundationlaboratory.com,POMONA,CA,05D0642889
ORANGE COUNTY PUBLIC HEALTH,ochealthinfo.com,IRVINE,CA,05D0643378
KERN COUNTY PUBLIC HEALTH LABORATORY,kernpublichealth.com,BAKERSFIELD,CA,05D0643486
MONTEREY COUNTY PUBLIC HEALTH LABORATORY,countyofmonterey.gov,SALINAS,CA,05D0643589
DR JACK S REMINGTON LAB,pamf.org,PALO ALTO,CA,05D0643684
VIRAL & RICKETTSIAL DISEASE LABORATORY,cdph.ca.gov,RICHMOND,CA,05D0643850
IGENEX INC,igenex.com,MILPITAS,CA,05D0643914
SAN JOAQUIN COUNTY PUBLIC HEALTH LAB,sjcphs.org,STOCKTON,CA,05D0643989
YOSEMITE PATHOLOGY MEDICAL GROUP,yosemitepathology.com,MERCED,CA,05D0644024
UNILAB CORP DBA QUEST DIAGNOSTICS,locations.questdiagnostics.com,MERCED,CA,05D0644027
SONOMA COUNTY PUBLIC HEALTH LABORATORY,sonomacounty.gov,SANTA ROSA,CA,05D0644064
UCD COCCIDIOIDOMYCOSIS SEROLOGY LAB,health.ucdavis.edu,DAVIS,CA,05D0644125
BERNARDO DERMATOLOGY MEDICAL GROUP,bernardoderm.com,POWAY,CA,05D0664519
UNILAB CORP DBA QUEST DIAGNOSTICS,questdiagnostics.com,FRESNO,CA,05D0664641
TULARE COUNTY HEALTH DEPT LABORATORY,tchhsa.org,TULARE,CA,05D0667647
